symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"AAVEUSDT.BINANCE, LINKUSDT.BINANCE, XRPUSDT.BINANCE",761.07%,1310,-197878.73,{'2023-03-29': -197878.73},1
"AAVEUSDT.BINANCE, CHZUSDT.BINANCE, LINKUSDT.BINANCE",501.45%,1322,-26835.99,{'2023-01-14': -26835.99},1
"AAVEUSDT.BINANCE, LINKUSDT.BINANCE, OGNUSDT.BINANCE",507.7%,1424,-88980.94,{'2023-07-24': -88980.94},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, LINKUSDT.BINANCE",855.07%,1332,-22565.19,{'2023-01-14': -22565.19},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, UNIUSDT.BINANCE",381.0%,1130,-14524.74,{'2023-01-14': -14524.74},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, XRPUSDT.BINANCE",713.16%,1178,-197655.97,{'2023-03-29': -197655.97},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, CHZUSDT.BINANCE",453.54%,1190,-28297.6,{'2023-01-14': -28297.6},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, OGNUSDT.BINANCE",459.79%,1292,-89006.9,{'2023-07-24': -89006.9},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, BNBUSDT.BINANCE",807.16%,1200,-24025.43,{'2023-01-14': -24025.43},1
"AAVEUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",510.64%,1271,-33893.13,{'2023-01-14': -33893.13},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, UNIUSDT.BINANCE",864.26%,1281,-29428.6,{'2023-01-14': -29428.6},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, CHZUSDT.BINANCE",936.8%,1341,-44778.32,{'2023-01-14': -44778.32},1
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",411.82%,1273,-11639.41,{'2023-05-13': -11639.41},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, EOSUSDT.BINANCE",365.02%,1167,-12785.76,{'2023-05-13': -12785.76},1
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",419.59%,1244,-17903.21,{'2023-01-14': -17903.21},1
"AXSUSDT.BINANCE, DOTUSDT.BINANCE, LINKUSDT.BINANCE",420.71%,1270,-16750.51,{'2023-01-14': -16750.51},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, DOTUSDT.BINANCE",372.79%,1138,-18167.72,{'2023-01-14': -18167.72},1
"AXSUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",429.89%,1219,-23690.86,{'2023-01-14': -23690.86},1
"AXSUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",502.43%,1279,-40351.79,{'2023-01-14': -40351.79},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, DOTUSDT.BINANCE",856.05%,1289,-34648.44,{'2023-01-14': -34648.44},1
