params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",233.6%,557,-22853.9,"{'2023-01-14': -22853.9, '2023-01-23': -18826.0}",2
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",232.06%,593,-14603.13,{'2023-01-14': -14603.13},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",136.23%,567,-4974.59,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",209.84%,583,-14596.83,{'2023-01-14': -14596.83},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",165.01%,574,-5150.31,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",145.19%,582,-5511.71,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",135.86%,574,-5305.8,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",156.46%,547,-37996.19,{'2023-01-23': -37996.19},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",126.54%,545,-3077.3,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",203.5%,531,-40366.83,"{'2023-01-14': -40366.83, '2023-01-23': -39770.31, '2023-03-10': -18709.58}",3
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",114.83%,530,-21282.24,"{'2023-01-14': -21282.24, '2023-01-23': -12972.74}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",2504.08%,673,-175279.58,"{'2023-01-14': -175279.58, '2023-07-02': -43304.34}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",760.8%,656,-36497.87,"{'2023-01-14': -36497.87, '2023-03-15': -13126.66, '2023-04-18': -12600.66}",3
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1385.38%,668,-86951.91,"{'2023-01-14': -86951.91, '2023-07-02': -22634.71}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",574.7%,645,-19027.14,"{'2023-01-14': -19027.14, '2023-07-02': -11210.39}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",1388.11%,663,-86870.31,"{'2023-01-14': -86870.31, '2023-07-02': -20266.38}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",313.13%,656,-11536.11,{'2023-07-02': -11536.11},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",562.26%,652,-34707.93,"{'2023-01-14': -34707.93, '2023-07-02': -20145.81}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",335.88%,649,-11485.77,{'2023-07-02': -11485.77},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",1313.16%,654,-216913.97,{'2023-01-23': -216913.97},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",570.35%,644,-36017.5,{'2023-01-23': -36017.5},1
