params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",114.74%,429,-5031.12,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",111.77%,436,-3774.74,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",112.02%,428,-5031.12,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",113.54%,431,-5825.58,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",163.92%,439,-8131.19,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",103.5%,420,-3514.6,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",127.39%,436,-3949.71,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",96.24%,412,-2435.25,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",115.88%,412,-4106.79,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",125.49%,396,-27701.68,{'2023-01-14': -27701.68},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",191.79%,396,-26003.54,{'2023-01-14': -26003.54},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",114.6%,389,-15908.25,{'2023-01-14': -15908.25},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",184.91%,388,-26003.54,"{'2023-01-14': -26003.54, '2023-06-25': -14851.37}",2
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",103.89%,382,-15908.25,{'2023-01-14': -15908.25},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1636.86%,539,-96532.77,"{'2023-02-19': -18128.78, '2023-04-17': -55702.07, '2023-06-22': -15258.81, '2023-07-14': -96532.77}",4
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.02",350.22%,509,-32287.7,"{'2023-02-19': -10600.01, '2023-04-17': -15940.9, '2023-07-14': -32287.7}",3
