symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'XRPUSDT.BINANCE']",284.66%,-9696.25,{},0
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'COMPUSDT.BINANCE']",487.73%,-29160.16,{'2023-01-15': -18756.5},1
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'OPUSDT.BINANCE']",671.92%,-21618.43,"{'2023-01-21': -16396.58, '2023-02-19': -13234.1, '2023-06-22': -11035.37}",3
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'APEUSDT.BINANCE']",328.04%,-15376.31,{},0
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'XLMUSDT.BINANCE']",210.15%,-9783.84,{},0
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'BTCUSDT.BINANCE']",270.56%,-59841.11,"{'2023-06-26': -59841.11, '2023-06-27': -29861.47}",2
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'XRPUSDT.BINANCE']",249.51%,-9727.8,{},0
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'COMPUSDT.BINANCE']",452.77%,-29142.74,{'2023-01-14': -18705.23},1
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'OPUSDT.BINANCE']",625.6%,-21769.25,"{'2023-01-21': -16378.0, '2023-06-22': -11011.8}",2
"['BCHUSDT.BINANCE', 'BNBUSDT.BINANCE', 'APEUSDT.BINANCE']",287.97%,-15130.62,{},0
"['BCHUSDT.BINANCE', 'XLMUSDT.BINANCE', 'BTCUSDT.BINANCE']",450.87%,-60736.11,"{'2023-03-18': -11660.79, '2023-03-20': -27668.54, '2023-06-26': -60736.11, '2023-06-27': -29601.28, '2023-06-28': -53701.63}",5
"['BCHUSDT.BINANCE', 'XLMUSDT.BINANCE', 'XRPUSDT.BINANCE']",274.39%,-9762.29,{},0
"['BCHUSDT.BINANCE', 'XLMUSDT.BINANCE', 'COMPUSDT.BINANCE']",500.12%,-29059.32,{'2023-01-16': -18765.66},1
"['BCHUSDT.BINANCE', 'XLMUSDT.BINANCE', 'OPUSDT.BINANCE']",654.56%,-21669.61,{'2023-01-21': -16381.6},1
"['BCHUSDT.BINANCE', 'XLMUSDT.BINANCE', 'APEUSDT.BINANCE']",292.56%,-15143.34,{},0
"['BCHUSDT.BINANCE', 'BTCUSDT.BINANCE', 'XRPUSDT.BINANCE']",383.8%,-59829.3,"{'2023-03-18': -11530.81, '2023-03-20': -27659.67, '2023-06-26': -59829.3, '2023-06-27': -29859.15}",4
"['BCHUSDT.BINANCE', 'BTCUSDT.BINANCE', 'COMPUSDT.BINANCE']",373.36%,-60523.44,"{'2023-03-18': -11439.67, '2023-03-20': -27564.12, '2023-06-26': -60523.44, '2023-06-27': -29827.77}",4
"['BCHUSDT.BINANCE', 'BTCUSDT.BINANCE', 'OPUSDT.BINANCE']",753.99%,-60639.3,"{'2023-01-21': -16382.84, '2023-03-20': -30355.0, '2023-06-22': -11703.82, '2023-06-26': -60639.3, '2023-06-27': -29857.11}",5
