symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"DOGEUSDT.BINANCE, XRPUSDT.BINANCE",500.99%,-46879.5,"{'2023-01-14': -11100.05, '2023-03-10': -23719.07, '2023-03-22': -21552.51, '2023-03-29': -15175.3, '2023-07-14': -46879.5}",5

"COMPUSDT.BINANCE, DOGEUSDT.BINANCE",512.21%,-14682.11,"{'2023-06-30': -11613.67, '2023-07-03': -14682.11}",2

"DOGEUSDT.BINANCE, OPUSDT.BINANCE",1036.81%,-93726.44,"{'2023-01-14': -16640.98, '2023-01-21': -93726.44, '2023-02-17': -16685.3, '2023-03-13': -22741.83, '2023-03-16': -10504.83, '2023-06-22': -55880.3}",6

"APEUSDT.BINANCE, DOGEUSDT.BINANCE",824.94%,-384839.03,"{'2023-01-10': -12999.93, '2023-05-11': -11342.15, '2023-06-10': -384839.03, '2023-06-22': -69297.55}",4

"MATICUSDT.BINANCE, MKRUSDT.BINANCE",1892.15%,-114705.73,"{'2023-01-10': -26944.72, '2023-01-14': -114705.73}",2

"LTCUSDT.BINANCE, MKRUSDT.BINANCE",646.07%,-65039.46,"{'2023-01-10': -26930.81, '2023-03-10': -65039.46, '2023-03-17': -35662.3}",3

"LINKUSDT.BINANCE, MKRUSDT.BINANCE",781.57%,-41698.82,"{'2023-01-10': -26929.48, '2023-01-14': -11456.64, '2023-03-02': -41698.82, '2023-03-14': -10769.43, '2023-04-24': -10868.94, '2023-06-21': -15192.7}",6

"BNBUSDT.BINANCE, MKRUSDT.BINANCE",382.71%,-26945.31,"{'2023-01-10': -26945.31, '2023-01-14': -20910.87}",2

"MKRUSDT.BINANCE, XLMUSDT.BINANCE",488.33%,-26941.83,"{'2023-01-10': -26941.83, '2023-01-14': -22771.76, '2023-03-17': -10570.32, '2023-06-28': -13414.92}",4

"BTCUSDT.BINANCE, MKRUSDT.BINANCE",684.84%,-30568.14,"{'2023-01-10': -26920.17, '2023-01-14': -17019.52, '2023-03-14': -30568.14, '2023-03-17': -11718.51, '2023-06-21': -24142.93}",5

"MKRUSDT.BINANCE, XRPUSDT.BINANCE",661.21%,-46864.14,"{'2023-01-10': -26941.37, '2023-01-14': -19117.48, '2023-03-17': -17732.95, '2023-03-22': -21413.5, '2023-03-29': -15355.49, '2023-07-14': -46864.14}",6

"COMPUSDT.BINANCE, MKRUSDT.BINANCE",868.98%,-26947.87,"{'2023-01-10': -26947.87, '2023-01-14': -26822.03, '2023-03-17': -16682.48, '2023-06-30': -11612.35, '2023-07-03': -14901.45}",5

"MKRUSDT.BINANCE, OPUSDT.BINANCE",1059.02%,-26958.45,"{'2023-01-10': -26958.45, '2023-01-14': -16984.82, '2023-02-03': -18287.42, '2023-02-17': -14909.09, '2023-03-13': -22930.72, '2023-04-26': -13109.91}",6

"APEUSDT.BINANCE, MKRUSDT.BINANCE",674.01%,-27018.72,"{'2023-01-10': -27018.72, '2023-03-17': -16555.21}",2

"LTCUSDT.BINANCE, MATICUSDT.BINANCE",31100.75%,-4079261.41,"{'2023-01-14': -147090.97, '2023-03-10': -620760.12, '2023-06-11': -4079261.41, '2023-06-22': -2833857.73}",4

