datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-08-02 14:55:00,RB,多,平仓,10,30.0,115.0,600.0,55800.0
2019-08-02 21:04:00,RB,空,开仓,10,30,121.0,,
2019-08-02 21:07:00,RB,多,平仓,10,30.0,117.0,1200.0,57000.0
2019-08-02 22:01:00,RB,多,开仓,10,30,102.0,,
2019-08-02 22:04:00,RB,空,平仓,10,30.0,107.0,1500.0,58500.0
2019-08-05 09:02:00,RB,多,开仓,10,30,104.0,,
2019-08-05 09:12:00,RB,空,平仓,10,30.0,105.0,300.0,58800.0
2019-08-05 09:52:00,RB,空,开仓,10,30,112.0,,
2019-08-05 09:57:00,RB,多,平仓,10,30.0,109.0,900.0,59700.0
2019-08-05 10:47:00,RB,空,开仓,10,30,113.0,,
2019-08-05 10:54:00,RB,多,平仓,10,30.0,109.0,1200.0,60900.0
2019-08-05 13:39:00,RB,多,开仓,10,30,102.0,,
2019-08-05 13:48:00,RB,空,平仓,10,30.0,104.0,600.0,61500.0
2019-08-06 09:03:00,RB,多,开仓,10,30,103.0,,
2019-08-06 09:06:00,RB,空,平仓,10,30.0,107.0,1200.0,62700.0
2019-08-06 14:26:00,RB,多,开仓,10,30,95.0,,
2019-08-06 21:37:00,RB,空,平仓,10,30.0,67.0,-8400.0,54300.0
2019-08-06 22:24:00,RB,多,开仓,10,30,63.0,,
2019-08-06 22:29:00,RB,空,平仓,10,30.0,66.0,900.0,55200.0
2019-08-07 09:26:00,RB,空,开仓,10,30,72.0,,
2019-08-07 09:50:00,RB,多,平仓,10,30.0,77.0,-1500.0,53700.0
2019-08-07 10:08:00,RB,多,开仓,10,30,71.0,,
2019-08-07 10:52:00,RB,空,平仓,10,30.0,67.0,-1200.0,52500.0
2019-08-07 13:31:00,RB,多,开仓,10,30,65.0,,
2019-08-07 13:41:00,RB,空,平仓,10,30.0,68.0,900.0,53400.0
2019-08-07 14:05:00,RB,空,开仓,10,30,69.0,,
2019-08-07 14:20:00,RB,多,平仓,10,30.0,70.0,-300.0,53100.0
2019-08-07 21:06:00,RB,空,开仓,10,30,73.0,,
2019-08-07 21:11:00,RB,多,平仓,10,30.0,70.0,900.0,54000.0
2019-08-07 22:23:00,RB,空,开仓,10,30,78.0,,
2019-08-07 22:24:00,RB,多,平仓,10,30.0,74.0,1200.0,55200.0
2019-08-07 22:42:00,RB,空,开仓,10,30,79.0,,
2019-08-07 22:50:00,RB,多,平仓,10,30.0,75.0,1200.0,56400.0
2019-08-07 22:58:00,RB,多,开仓,10,30,72.0,,
2019-08-07 23:00:00,RB,空,平仓,10,30.0,76.0,1200.0,57600.0
2019-08-08 09:01:00,RB,空,开仓,10,30,80.0,,
2019-08-08 09:37:00,RB,多,平仓,10,30.0,90.0,-3000.0,54600.0
2019-08-08 10:00:00,RB,空,开仓,10,30,97.0,,
2019-08-08 10:08:00,RB,多,平仓,10,30.0,95.0,600.0,55200.0
2019-08-08 10:46:00,RB,多,开仓,10,30,92.0,,
2019-08-08 10:56:00,RB,空,平仓,10,30.0,94.0,600.0,55800.0
2019-08-08 14:44:00,RB,多,开仓,10,30,81.0,,
2019-08-08 14:52:00,RB,空,平仓,10,30.0,83.0,600.0,56400.0
2019-08-08 21:01:00,RB,空,开仓,10,30,87.0,,
2019-08-08 21:12:00,RB,多,平仓,10,30.0,88.0,-300.0,56100.0
2019-08-08 21:37:00,RB,多,开仓,10,30,84.0,,
2019-08-08 21:41:00,RB,空,平仓,10,30.0,87.0,900.0,57000.0
2019-08-08 21:50:00,RB,多,开仓,10,30,82.0,,
2019-08-08 21:56:00,RB,空,平仓,10,30.0,85.0,900.0,57900.0
2019-08-08 22:37:00,RB,多,开仓,10,30,81.0,,
2019-08-08 22:52:00,RB,空,平仓,10,30.0,81.0,,
2019-08-09 09:01:00,RB,多,开仓,10,30,75.0,,
2019-08-09 09:03:00,RB,空,平仓,10,30.0,79.0,1200.0,59100.0
2019-08-09 09:14:00,RB,多,开仓,10,30,75.0,,
2019-08-09 09:16:00,RB,空,平仓,10,30.0,78.0,900.0,60000.0
2019-08-09 10:02:00,RB,多,开仓,10,30,71.0,,
2019-08-09 10:11:00,RB,空,平仓,10,30.0,73.0,600.0,60600.0
2019-08-09 10:32:00,RB,多,开仓,10,30,67.0,,
2019-08-09 10:54:00,RB,空,平仓,10,30.0,62.0,-1500.0,59100.0
2019-08-09 11:07:00,RB,空,开仓,10,30,67.0,,
2019-08-09 11:20:00,RB,多,平仓,10,30.0,66.0,300.0,59400.0
2019-08-09 13:33:00,RB,多,开仓,10,30,61.0,,
2019-08-09 13:45:00,RB,空,平仓,10,30.0,60.0,-300.0,59100.0
2019-08-09 13:50:00,RB,多,开仓,10,30,54.0,,
2019-08-09 13:58:00,RB,空,平仓,10,30.0,56.0,600.0,59700.0
2019-08-09 14:12:00,RB,空,开仓,10,30,62.0,,
2019-08-09 14:16:00,RB,多,平仓,10,30.0,59.0,900.0,60600.0
2019-08-09 14:34:00,RB,空,开仓,10,30,64.0,,
2019-08-09 14:43:00,RB,多,平仓,10,30.0,62.0,600.0,61200.0
2019-08-09 21:05:00,RB,多,开仓,10,30,55.0,,
2019-08-09 21:07:00,RB,空,平仓,10,30.0,60.0,1500.0,62700.0
2019-08-09 21:10:00,RB,多,开仓,10,30,55.0,,
2019-08-09 21:45:00,RB,空,平仓,10,30.0,51.0,-1200.0,61500.0
2019-08-09 21:47:00,RB,空,开仓,10,30,55.0,,
2019-08-09 21:54:00,RB,多,平仓,10,30.0,52.0,900.0,62400.0
2019-08-12 09:01:00,RB,空,开仓,10,30,57.0,,
2019-08-12 09:22:00,RB,多,平仓,10,30.0,63.0,-1800.0,60600.0
2019-08-12 09:26:00,RB,多,开仓,10,30,57.0,,
2019-08-12 09:52:00,RB,空,平仓,10,30.0,55.0,-600.0,60000.0
2019-08-12 13:37:00,RB,多,开仓,10,30,52.0,,
2019-08-12 13:43:00,RB,空,平仓,10,30.0,55.0,900.0,60900.0
2019-08-12 13:53:00,RB,空,开仓,10,30,59.0,,
2019-08-12 14:31:00,RB,多,平仓,10,30.0,72.0,-3900.0,57000.0
2019-08-12 14:53:00,RB,空,开仓,10,30,82.0,,
2019-08-12 14:59:00,RB,多,平仓,10,30.0,80.0,600.0,57600.0
2019-08-12 21:07:00,RB,多,开仓,10,30,75.0,,
2019-08-12 21:19:00,RB,空,平仓,10,30.0,76.0,300.0,57900.0
2019-08-12 21:42:00,RB,空,开仓,10,30,83.0,,
2019-08-12 22:00:00,RB,多,平仓,10,30.0,88.0,-1500.0,56400.0
2019-08-12 22:06:00,RB,多,开仓,10,30,83.0,,
2019-08-12 22:39:00,RB,空,平仓,10,30.0,75.0,-2400.0,54000.0
2019-08-12 22:49:00,RB,空,开仓,10,30,79.0,,
2019-08-12 22:59:00,RB,多,平仓,10,30.0,78.0,300.0,54300.0
2019-08-13 09:11:00,RB,空,开仓,10,30,85.0,,
2019-08-13 09:17:00,RB,多,平仓,10,30.0,82.0,900.0,55200.0
2019-08-13 09:50:00,RB,多,开仓,10,30,75.0,,
2019-08-13 10:01:00,RB,空,平仓,10,30.0,77.0,600.0,55800.0
2019-08-13 13:34:00,RB,空,开仓,10,30,82.0,,
2019-08-13 13:45:00,RB,多,平仓,10,30.0,82.0,,
2019-08-13 14:32:00,RB,多,开仓,10,30,77.0,,
2019-08-13 14:42:00,RB,空,平仓,10,30.0,78.0,300.0,56100.0
2019-08-13 21:01:00,RB,空,开仓,10,30,82.0,,
2019-08-13 21:05:00,RB,多,平仓,10,30.0,77.0,1500.0,57600.0
2019-08-13 21:10:00,RB,空,开仓,10,30,81.0,,
2019-08-13 21:12:00,RB,多,平仓,10,30.0,77.0,1200.0,58800.0
2019-08-13 21:37:00,RB,空,开仓,10,30,82.0,,
2019-08-13 22:01:00,RB,多,平仓,10,30.0,86.0,-1200.0,57600.0
2019-08-14 09:15:00,RB,多,开仓,10,30,86.0,,
